date,open,high,low,close
2023-11-17,574.5,574.5,562.1,563.05
2023-11-16,584.7,588.0,582.9,584.65
2023-11-15,587.25,588.0,582.6,584.7
2023-11-13,581.0,582.5,575.2,581.35
2023-11-12,584.75,584.75,580.1,581.3
2023-11-10,577.8,581.0,575.4,579.5
2023-11-09,581.0,581.85,576.5,578.35
2023-11-08,581.9,582.6,579.0,580.3
2023-11-07,574.8,581.2,572.6,579.75
2023-11-06,582.0,582.5,573.25,574.35
2023-11-03,576.0,579.5,573.45,578.15
2023-11-02,571.1,575.45,567.6,572.1
2023-11-01,566.25,569.65,563.85,566.4
2023-10-31,567.0,569.5,563.15,565.55
2023-10-30,563.0,566.7,556.5,565.2
2023-10-27,550.0,562.5,550.0,561.15
2023-10-26,551.45,552.9,543.2,547.0
2023-10-25,558.6,560.8,553.6,556.2
2023-10-23,563.1,566.0,551.0,552.95
2023-10-20,569.9,570.0,562.1,563.1
2023-10-19,569.8,574.0,567.0,571.2
2023-10-18,577.75,579.25,569.35,572.65
2023-10-17,577.7,579.95,575.3,576.45
2023-10-16,576.0,578.75,571.5,575.65
2023-10-13,577.75,581.3,574.8,576.15
2023-10-12,590.8,593.0,585.0,586.05
2023-10-11,596.9,597.0,587.6,588.35
2023-10-10,587.0,595.0,585.75,591.65
2023-10-09,588.0,589.0,581.55,585.1
2023-10-06,593.4,598.95,592.2,594.25
2023-10-05,590.0,594.35,587.1,592.15
2023-10-04,600.0,600.45,584.45,586.25
2023-10-03,596.6,604.9,589.6,602.95
2023-09-29,592.85,600.0,591.3,598.55
2023-09-28,591.25,595.2,588.85,589.95
2023-09-27,593.45,594.3,588.2,589.75
2023-09-26,594.0,595.0,591.25,594.4
2023-09-25,601.5,601.5,590.45,594.05
2023-09-22,593.5,602.0,591.4,598.15
2023-09-21,600.0,606.6,584.65,588.15
2023-09-20,600.85,606.8,599.4,601.1
2023-09-18,598.8,608.4,597.05,603.95
2023-09-15,599.35,600.7,595.2,598.8
2023-09-14,598.45,603.7,595.2,597.3
2023-09-13,588.4,598.0,583.45,596.45
2023-09-12,593.65,594.25,584.65,588.35
2023-09-11,587.0,592.3,585.35,591.7
2023-09-08,581.0,588.5,579.7,583.45
2023-09-07,568.0,581.0,568.0,579.05
2023-09-06,574.25,574.25,568.0,570.5
2023-09-05,575.6,578.25,571.35,573.0
2023-09-04,572.0,576.35,568.45,575.55
2023-09-01,562.7,571.2,562.1,569.55
2023-08-31,569.3,570.3,559.4,561.35
2023-08-30,576.7,577.7,566.1,567.4
2023-08-29,573.65,576.3,571.85,574.85
2023-08-28,572.8,574.8,569.2,572.85
2023-08-25,573.8,575.3,567.2,569.95
2023-08-24,578.15,582.0,575.55,576.95
2023-08-23,571.0,577.95,566.0,576.9
2023-08-22,572.5,574.45,567.5,568.5
2023-08-21,572.95,575.55,570.75,571.7
2023-08-18,570.0,575.25,567.4,572.95
2023-08-17,565.75,573.15,564.0,572.15
2023-08-16,558.8,566.4,554.0,565.35
2023-08-14,572.95,573.0,558.6,560.8
2023-08-11,575.45,579.0,572.0,574.15
